項目,2022 原訂,114/07/09 現況（摘錄）,依需要修改：2026 年 KPI
一、擴大營運量能 / 併發症檢查,各 100 件／月,單項月量約 170–230 件，量能穩定,① 維持目前月平均值；③ 異常→治療／轉介完成率 ≥ 85%；④ 回診追蹤完成率 ≥ 85%。
一、擴大營運量能 / 自費檢查／藥品,推展自費檢查／業務,自費藥費年增約 81%；自費總收入年增約 46%,① 自費總收入年增 ≥ 15%；② 自費藥費年增 ≥ 15%；③ 自費占醫療收入比年增 ≥ 2 個百分點。
一、擴大營運量能 / CGM 與強化治療,CGM 每週 1 名（≈4／月）,已有收案與收入；可擴量,① 目前量再加 10%（CGM 新裝）；② 強化治療路徑完成率 ≥ 70%；③ TIR ≥ 70% 比率 ≥ 60%；④ 自費耗材／裝置年成長 ≥ 30%。
二、次專科門診與路徑,DM、甲狀腺、內分泌、妊娠 DM、基因／精準醫療,持續運作,① 各次專科門診量年增 ≥ 10%；② GDM 標準化路徑完成率 ≥ 80%；③ 精準醫療：AID 年新增 ≥ 2 件。
三、品質競賽與認證,取得糖尿病疾病別認證,運作中,① 通過國家品質競賽；② 維持認證並通過年度稽核 100%。
三、住院衛教與回流,—,住院成人 DM 衛教執行中,① 目標病房衛教覆蓋率 ≥ 80%；② 出院 30 天回診率 ≥ 70%；③ 滿意度 ≥ 88%。
四、收案與品質,收案≥67%；A1c<7%≥34%；A1c>9%≤10%；LDL<100≥40%；ABC≥10%,收案約 86.9%,① 收案率 ≥ 70%；② A1c<7% ≥ 36%；③ A1c>9% ≤ 9%；④ LDL<100 ≥ 45%；⑤ ABC 三達標 ≥ 12%。
五、報告數位化（甲狀腺／神經學／CGM）,完成報告格式資訊化,持續擴充,① 三類報告自動產出覆蓋率 ≥ 50%；② 報告完成時間（TAT）中位數下降 ≥ 20%。
五、SDM／VeriSee,VeriSee 建置；insulin titration AI,SDM 啟動率高；VeriSee 運作,"① SDM 提示→啟動 ≥ 90%、啟動→決策 ≥ 90%；② VeriSee 年篩檢 ≥ 2,000、異常需轉眼科者→眼科轉介完成率 ≥ 55%。"
六、人力與能力,四名主治、一名研究助理,持續招募中,① 主治醫師淨增 ≥ 1；② 完成 CGM／泵數據判讀認證 ≥ 6 人。
七、研究產出與試驗,論文≥1、口頭/海報≥1、個管師論文≥1,研究計畫持續,① SCI／Scopus 論文 ≥ 2；② 多中心臨床試驗 ≥ 1；③ 實務資料研究 ≥ 1 篇投稿。
八、P14 共照跨科,社區每季 1 場、媒體每半年 1 場,新陳代謝科占比約 80%,① 他科占比年增 ≥ 5 個百分點；② 心內／家醫為兩大拓點；③ 每季跨科聯席會＋共同 KPI。
